Date,Open,High,Low,Close,Volume,MACD_12_26_9,MACD,RSI,EMA,MFI,signal
2002-01-22,0.3409561373389588,0.34248654288447067,0.33406636118888855,0.33406636118888855,327314400,0.0008285678561876786,0.0008285678561876786,50.00744682994151,0.33451770136616377,47.02646578596122,0.0
2002-01-23,0.33376030801695417,0.35274492715822425,0.3305451657528124,0.3524380028247833,443279200,0.002175720754486854,0.002175720754486854,57.51067475701723,0.33777593799500366,46.20042528952286,0.0
2002-01-24,0.35075410449402245,0.35993991053207003,0.35060148553928716,0.35534700751304626,344002400,0.0034384452424801593,0.0034384452424801593,58.57097455497699,0.340970677907375,43.55884281343377,0.0
2002-01-25,0.350447938125127,0.35856203671136144,0.3469267414405052,0.355959951877594,185914400,0.004437470585601455,0.004437470585601455,58.804246555192364,0.3436960004474148,37.62301086936697,0.0
2002-01-28,0.35825600009549613,0.36055289848176747,0.347845027668448,0.356266051530838,186446400,0.005194031489609396,0.005194031489609396,58.92861885584158,0.34598146428076443,43.231509353725095,0.0
2002-01-29,0.35550043778512913,0.3603994214729274,0.34983582979638067,0.35320356488227844,240324000,0.005483286465347514,0.005483286465347514,57.072134131022494,0.34729457348103965,45.0177399162504,1.0
2002-01-30,0.3532035529252648,0.36958523972707974,0.3512136043690155,0.368820458650589,471576000,0.006893215234519301,0.006893215234519301,63.403654051639414,0.35120837078459405,53.06881087549151,1.0
2002-01-31,0.36989204232562206,0.3786183011538229,0.36912641830243076,0.3784656822681427,468445600,0.008688724670062486,0.008688724670062486,66.67304353728814,0.3561642455997847,61.86192381907109,1.0
2002-02-01,0.37264771871607333,0.38213960422835724,0.37264771871607333,0.3737194240093231,398305600,0.0096178271340146,0.0096178271340146,63.659245322236536,0.35935609621970077,62.61959791260964,0.0
2002-02-04,0.3723416211104273,0.3907132292075382,0.3705042916610237,0.3881111443042755,522373600,0.01138420900669107,0.01138420900669107,68.33347760055175,0.36458428678053256,70.91563544146672,0.0
2002-02-05,0.38413040760074846,0.39775652132457584,0.3839769454691043,0.38964155316352844,456887200,0.012760475750333067,0.012760475750333067,68.79314718215966,0.3691401533956227,72.11588123987872,0.0
2002-02-06,0.3919384558258481,0.39775652571615283,0.3697386992494579,0.37770017981529236,597576000,0.012740740701186637,0.012740740701186637,61.314238638787856,0.3706965218355627,70.46961222932207,0.0
2002-02-07,0.37739402908719055,0.3871919942533545,0.3686669258625953,0.37203550338745117,347832800,0.012128202121985565,0.012128202121985565,58.08808097672523,0.3709399730268151,62.328711278441695,0.0
2002-02-08,0.3735659322989158,0.3772405910700542,0.3577964096529483,0.3679013252258301,355331200,0.011180287859040794,0.011180287859040794,55.7812730575335,0.37038749160845413,61.845493039242285,0.0
2002-02-11,0.36637014484006136,0.3827527024801395,0.36346197825367155,0.382445752620697,398602400,0.011470448523742516,0.011470448523742516,61.564254936913386,0.3725799027015892,68.09298272479774,0.0
2002-02-12,0.3775467845189418,0.38336485543921783,0.37433166793647626,0.3783124089241028,224280000,0.011237339592669426,0.011237339592669426,59.19495592873728,0.373622176560228,66.9723415340184,1.0
2002-02-13,0.37861842347110053,0.38642644191290504,0.37739409919707245,0.3829052448272705,312872000,0.01129302361225043,0.01129302361225043,60.99140791159122,0.3753100071542357,66.92749027740979,1.0
2002-02-14,0.38351745093207235,0.3862738928131862,0.37325993956771863,0.3766285181045532,260170400,0.01070724772250592,0.01070724772250592,57.279975460680376,0.37554973641792977,65.81443286006505,1.0
2002-02-15,0.3755567722805514,0.3824457043676984,0.365145799883978,0.36591142416000366,260187200,0.009271361708212023,0.009271361708212023,51.51574438930845,0.3737973160073977,61.505037510357624,1.0
2002-02-19,0.363768031907682,0.3654518994811765,0.34417122805095834,0.3463146388530731,390258400,0.006477446923717101,0.006477446923717101,42.99546739853548,0.3688004656157023,59.94121824779138,1.0
2002-02-20,0.3486106791895758,0.3551943739383301,0.34218044658788516,0.35412266850471497,285443200,0.0048375280542442,0.0048375280542442,46.77282786041435,0.3661317752318864,53.44955863231313,0.0
2002-02-21,0.3509075878035209,0.35213191230979746,0.3284017458629081,0.3291673958301544,446751200,0.001506828805783511,0.001506828805783511,38.08618343217837,0.359410978977026,45.152373429198306,1.0
2002-02-22,0.33161689366204566,0.3513662938494057,0.32916740140927986,0.34815117716789246,406476000,0.0003945104835807456,0.0003945104835807456,46.26222652639877,0.3573637422844562,44.85761243761775,0.0
2002-02-25,0.34983587105163044,0.37846586420234213,0.3423339324956309,0.3645336925983429,426848800,0.0008254074964369473,0.0008254074964369473,52.136360660274164,0.3586673696142538,43.530596675031454,1.0
2002-02-26,0.36606409635133125,0.37310733479629704,0.3559600467540578,0.36239027976989746,260131200,0.0009826140188108345,0.0009826140188108345,51.345542092345234,0.3593442623698253,40.92523809977116,1.0
2002-02-27,0.3665235368510478,0.37126990080291516,0.32059362417018317,0.3362096846103668,1030159200,-0.0009938968840075835,-0.0009938968840075835,42.804941272984074,0.3551379755044692,38.29047161355121,1.0
2002-02-28,0.3391188505909923,0.3458551654434384,0.32687051992665556,0.33222904801368713,456937600,-0.002848662512059119,-0.002848662512059119,41.670016559213714,0.3509727159606906,37.855493285053946,0.0
2002-03-01,0.3357501710714418,0.3597872837134246,0.33406632908534517,0.3590216338634491,348992000,-0.0021320627795023417,-0.0021320627795023417,51.07305169838155,0.35243615557937397,44.28047905153031,0.0
